"genbank_accession"	"tax"
"DQ388466"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Protodinium; Protodinium_simplex"
"AY628363"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"FN690107"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"JX661029"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Pelagodinium; Pelagodinium_sp."
"JN255738"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_sp."
"FN690125"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"GQ483674"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"FN690070"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"AB016580"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_sp."
"AY628351"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_cincta"
"AY051092"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_sp."
"EF058235"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Cystodinium; Cystodinium_phaseolus"
"AY525027"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_sp."
"FN690161"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"AF396619"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Durusdinium; Durusdinium_sp."
"AB016577"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
"FN690128"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"HM067612"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodiniaceae_X; Symbiodiniaceae_X_sp."
"AB016572"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
"AY051087"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Durusdinium; Durusdinium_sp."
"FN552048"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
"FN690272"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
